Power Building,day,Hour,month,minute
38.702,29,5,12,30
38.716,29,5,12,15
38.548,29,5,12,0
38.547,29,4,12,45
38.572,29,4,12,30
38.567,29,4,12,15
38.554,29,4,12,0
38.677,29,3,12,45
38.76,29,3,12,30
38.827,29,3,12,15
38.796,29,3,12,0
38.628,29,2,12,45
38.495,29,2,12,30
38.514,29,2,12,15
38.601,29,2,12,0
38.697,29,1,12,45
38.536,29,1,12,30
38.451,29,1,12,15
38.635,29,1,12,0
38.781,29,0,12,45
38.598,29,0,12,30
38.592,29,0,12,15
38.643,29,0,12,0
38.653,28,23,12,45
38.651,28,23,12,30
38.736,28,23,12,15
38.522,28,23,12,0
38.722,28,22,12,45
38.982,28,22,12,30
38.996,28,22,12,15
38.625,28,22,12,0
38.655,28,21,12,45
38.789,28,21,12,30
38.398,28,21,12,15
38.413,28,21,12,0
38.376,28,20,12,45
38.286,28,20,12,30
38.379,28,20,12,15
38.358,28,20,12,0
38.658,28,19,12,45
38.792,28,19,12,30
38.637,28,19,12,15
38.366,28,19,12,0
38.573,28,18,12,45
38.49,28,18,12,30
38.502,28,18,12,15
38.909,28,18,12,0
39.262,28,17,12,45
39.301,28,17,12,30
38.999,28,17,12,15
38.988,28,17,12,0
38.879,28,16,12,45
39.007,28,16,12,30
36.802,28,16,12,15
35.926,28,16,12,0
36.029,28,15,12,45
36.14,28,15,12,30
36.038,28,15,12,15
36.196,28,15,12,0
35.915,28,14,12,45
36.219,28,14,12,30
35.987,28,14,12,15
36.288,28,14,12,0
36.357,28,13,12,45
36.297,28,13,12,30
36.389,28,13,12,15
36.045,28,13,12,0
35.947,28,12,12,45
36.02,28,12,12,30
36.222,28,12,12,15
35.806,28,12,12,0
35.945,28,11,12,45
36.153,28,11,12,30
35.875,28,11,12,15
36.586,28,11,12,0
35.991,28,10,12,45
36.305,28,10,12,30
36.114,28,10,12,15
35.937,28,10,12,0
35.949,28,9,12,45
36.268,28,9,12,30
35.894,28,9,12,15
36.027,28,9,12,0
36.086,28,8,12,45
35.963,28,8,12,30
35.747,28,8,12,15
36.759,28,8,12,0
38.934,28,7,12,45
38.558,28,7,12,30
38.761,28,7,12,15
38.524,28,7,12,0
38.794,28,6,12,45
39.119,28,6,12,30
38.835,28,6,12,15
38.672,28,6,12,0
38.86,28,5,12,45
38.94,28,5,12,30
38.331,28,5,12,15
38.16,28,5,12,0
38.379,28,4,12,45
38.333,28,4,12,30
38.24,28,4,12,15
38.306,28,4,12,0
39.038,28,3,12,45
39.068,28,3,12,30
38.37,28,3,12,15
38.305,28,3,12,0
38.222,28,2,12,45
38.333,28,2,12,30
38.339,28,2,12,15
38.566,28,2,12,0
38.545,28,1,12,45
38.383,28,1,12,30
38.35,28,1,12,15
38.254,28,1,12,0
38.315,28,0,12,45
38.554,28,0,12,30
38.596,28,0,12,15
38.43,28,0,12,0
38.506,27,23,12,45
39.027,27,23,12,30
39.186,27,23,12,15
38.599,27,23,12,0
38.386,27,22,12,45
38.462,27,22,12,30
38.515,27,22,12,15
38.42,27,22,12,0
38.518,27,21,12,45
38.509,27,21,12,30
38.403,27,21,12,15
38.437,27,21,12,0
38.899,27,20,12,45
38.703,27,20,12,30
38.408,27,20,12,15
38.33,27,20,12,0
38.705,27,19,12,45
38.865,27,19,12,30
38.455,27,19,12,15
38.586,27,19,12,0
38.659,27,18,12,45
38.27,27,18,12,30
38.175,27,18,12,15
38.22,27,18,12,0
39.09,27,17,12,45
38.883,27,17,12,30
38.557,27,17,12,15
38.419,27,17,12,0
38.731,27,16,12,45
38.823,27,16,12,30
35.811,27,16,12,15
36.079,27,16,12,0
36.387,27,15,12,45
36.126,27,15,12,30
35.987,27,15,12,15
36.425,27,15,12,0
35.589,27,14,12,45
36.138,27,14,12,30
37.182,27,14,12,15
36.887,27,14,12,0
36.172,27,13,12,45
36.068,27,13,12,30
36.081,27,13,12,15
36.102,27,13,12,0
36.227,27,12,12,45
36.634,27,12,12,30
36.122,27,12,12,15
36.078,27,12,12,0
36.263,27,11,12,45
35.982,27,11,12,30
36.308,27,11,12,15
36.381,27,11,12,0
36.141,27,10,12,45
36.044,27,10,12,30
36.139,27,10,12,15
36.621,27,10,12,0
36.39,27,9,12,45
35.451,27,9,12,30
34.963,27,9,12,15
36.419,27,9,12,0
36.568,27,8,12,45
36.532,27,8,12,30
36.37,27,8,12,15
37.884,27,8,12,0
38.891,27,7,12,45
38.686,27,7,12,30
38.552,27,7,12,15
38.611,27,7,12,0
38.919,27,6,12,45
39.138,27,6,12,30
38.797,27,6,12,15
38.562,27,6,12,0
38.426,27,5,12,45
38.454,27,5,12,30
38.455,27,5,12,15
38.507,27,5,12,0
38.569,27,4,12,45
38.721,27,4,12,30
38.752,27,4,12,15
38.656,27,4,12,0
38.672,27,3,12,45
38.671,27,3,12,30
38.851,27,3,12,15
38.895,27,3,12,0
38.791,27,2,12,45
38.906,27,2,12,30
38.607,27,2,12,15
38.756,27,2,12,0
38.825,27,1,12,45
38.757,27,1,12,30
38.717,27,1,12,15
39.03,27,1,12,0
39.904,27,0,12,45
39.406,27,0,12,30
38.797,27,0,12,15
39.077,27,0,12,0
39.122,26,23,12,45
39.277,26,23,12,30
39.079,26,23,12,15
39.094,26,23,12,0
39.13,26,22,12,45
39.039,26,22,12,30
38.965,26,22,12,15
39.135,26,22,12,0
39.244,26,21,12,45
39.092,26,21,12,30
39.197,26,21,12,15
39.392,26,21,12,0
39.601,26,20,12,45
39.244,26,20,12,30
39.174,26,20,12,15
39.268,26,20,12,0
39.327,26,19,12,45
39.058,26,19,12,30
39.134,26,19,12,15
39.102,26,19,12,0
39.374,26,18,12,45
38.997,26,18,12,30
39.134,26,18,12,15
39.209,26,18,12,0
39.229,26,17,12,45
39.196,26,17,12,30
39.118,26,17,12,15
39.081,26,17,12,0
38.846,26,16,12,45
38.804,26,16,12,30
39.046,26,16,12,15
37.379,26,16,12,0
36.036,26,15,12,45
36.199,26,15,12,30
36.146,26,15,12,15
36.149,26,15,12,0
36.319,26,14,12,45
36.401,26,14,12,30
36.343,26,14,12,15
36.148,26,14,12,0
36.126,26,13,12,45
36.262,26,13,12,30
36.235,26,13,12,15
36.613,26,13,12,0
36.238,26,12,12,45
36.075,26,12,12,30
36.41,26,12,12,15
36.427,26,12,12,0
36.539,26,11,12,45
36.304,26,11,12,30
36.276,26,11,12,15
36.266,26,11,12,0
36.451,26,10,12,45
32.664,26,10,12,30
36.986,26,10,12,15
37.267,26,10,12,0
37.414,26,9,12,45
34.139,26,9,12,30
38.522,26,9,12,15
35.103,26,9,12,0
38.949,26,8,12,45
40.612,26,8,12,30
37.375,26,8,12,15
41.135,26,8,12,0
41.216,26,7,12,45
37.604,26,7,12,30
41.667,26,7,12,15
37.641,26,7,12,0
41.562,26,6,12,45
39.78,26,6,12,30
39.055,26,6,12,15
39.023,26,6,12,0
39.057,26,5,12,45
38.938,26,5,12,30
39.187,26,5,12,15
39.219,26,5,12,0
40.997,26,4,12,45
39.228,26,4,12,30
39.117,26,4,12,15
38.914,26,4,12,0
38.764,26,3,12,45
38.67,26,3,12,30
39.036,26,3,12,15
38.753,26,3,12,0
38.77,26,2,12,45
38.834,26,2,12,30
38.889,26,2,12,15
38.628,26,2,12,0
38.62,26,1,12,45
38.616,26,1,12,30
39.12,26,1,12,15
39.218,26,1,12,0
38.707,26,0,12,45
38.575,26,0,12,30
38.673,26,0,12,15
38.621,26,0,12,0
38.71,25,23,12,45
38.704,25,23,12,30
38.695,25,23,12,15
38.639,25,23,12,0
38.802,25,22,12,45
38.769,25,22,12,30
38.788,25,22,12,15
38.699,25,22,12,0
39.076,25,21,12,45
39.035,25,21,12,30
39.238,25,21,12,15
39.166,25,21,12,0
38.981,25,20,12,45
38.956,25,20,12,30
38.933,25,20,12,15
38.848,25,20,12,0
38.988,25,19,12,45
39.183,25,19,12,30
38.712,25,19,12,15
38.7,25,19,12,0
38.958,25,18,12,45
39.165,25,18,12,30
39.257,25,18,12,15
38.728,25,18,12,0
38.801,25,17,12,45
38.875,25,17,12,30
39.128,25,17,12,15
39.095,25,17,12,0
38.733,25,16,12,45
39.202,25,16,12,30
37.298,25,16,12,15
35.848,25,16,12,0
35.761,25,15,12,45
35.756,25,15,12,30
35.885,25,15,12,15
35.956,25,15,12,0
35.974,25,14,12,45
36.03,25,14,12,30
36.125,25,14,12,15
36.134,25,14,12,0
35.804,25,13,12,45
35.847,25,13,12,30
35.879,25,13,12,15
35.88,25,13,12,0
35.939,25,12,12,45
35.912,25,12,12,30
36.003,25,12,12,15
36.118,25,12,12,0
36.201,25,11,12,45
36.072,25,11,12,30
35.938,25,11,12,15
35.949,25,11,12,0
35.928,25,10,12,45
36.102,25,10,12,30
36.054,25,10,12,15
35.974,25,10,12,0
36.039,25,9,12,45
36.018,25,9,12,30
36.2,25,9,12,15
36.62,25,9,12,0
38.715,25,8,12,45
36.064,25,8,12,30
38.591,25,8,12,15
38.414,25,8,12,0
38.494,25,7,12,45
38.875,25,7,12,30
38.879,25,7,12,15
38.667,25,7,12,0
38.668,25,6,12,45
38.718,25,6,12,30
38.81,25,6,12,15
38.722,25,6,12,0
38.692,25,5,12,45
38.823,25,5,12,30
38.876,25,5,12,15
38.698,25,5,12,0
38.67,25,4,12,45
38.769,25,4,12,30
38.745,25,4,12,15
38.69,25,4,12,0
38.708,25,3,12,45
38.853,25,3,12,30
38.896,25,3,12,15
38.775,25,3,12,0
38.72,25,2,12,45
38.803,25,2,12,30
38.753,25,2,12,15
38.645,25,2,12,0
38.713,25,1,12,45
38.806,25,1,12,30
38.784,25,1,12,15
38.757,25,1,12,0
38.787,25,0,12,45
38.87,25,0,12,30
38.877,25,0,12,15
38.713,25,0,12,0
38.764,24,23,12,45
38.834,24,23,12,30
39.089,24,23,12,15
38.931,24,23,12,0
38.846,24,22,12,45
38.874,24,22,12,30
38.993,24,22,12,15
38.817,24,22,12,0
39.175,24,21,12,45
39.27,24,21,12,30
39.448,24,21,12,15
39.087,24,21,12,0
38.815,24,20,12,45
38.887,24,20,12,30
38.766,24,20,12,15
38.764,24,20,12,0
38.862,24,19,12,45
38.908,24,19,12,30
38.81,24,19,12,15
38.873,24,19,12,0
38.914,24,18,12,45
38.936,24,18,12,30
38.848,24,18,12,15
38.813,24,18,12,0
39.166,24,17,12,45
39.273,24,17,12,30
39.26,24,17,12,15
38.884,24,17,12,0
38.682,24,16,12,45
38.869,24,16,12,30
38.818,24,16,12,15
39.098,24,16,12,0
36.862,24,15,12,45
35.977,24,15,12,30
35.91,24,15,12,15
35.89,24,15,12,0
35.994,24,14,12,45
36.001,24,14,12,30
35.965,24,14,12,15
35.841,24,14,12,0
36.111,24,13,12,45
36.033,24,13,12,30
36.092,24,13,12,15
36.084,24,13,12,0
35.807,24,12,12,45
35.744,24,12,12,30
36.02,24,12,12,15
35.841,24,12,12,0
35.783,24,11,12,45
35.982,24,11,12,30
35.918,24,11,12,15
35.904,24,11,12,0
36.071,24,10,12,45
36.389,24,10,12,30
35.938,24,10,12,15
36.013,24,10,12,0
35.748,24,9,12,45
35.801,24,9,12,30
35.754,24,9,12,15
35.718,24,9,12,0
35.758,24,8,12,45
35.76,24,8,12,30
35.837,24,8,12,15
36.192,24,8,12,0
38.409,24,7,12,45
38.625,24,7,12,30
38.51,24,7,12,15
38.645,24,7,12,0
38.393,24,6,12,45
38.285,24,6,12,30
38.312,24,6,12,15
38.165,24,6,12,0
38.195,24,5,12,45
38.29,24,5,12,30
38.264,24,5,12,15
38.307,24,5,12,0
38.267,24,4,12,45
38.424,24,4,12,30
38.399,24,4,12,15
38.378,24,4,12,0
38.348,24,3,12,45
38.441,24,3,12,30
38.432,24,3,12,15
38.745,24,3,12,0
38.429,24,2,12,45
38.467,24,2,12,30
38.479,24,2,12,15
38.567,24,2,12,0
38.521,24,1,12,45
38.446,24,1,12,30
38.642,24,1,12,15
38.605,24,1,12,0
38.564,24,0,12,45
38.952,24,0,12,30
39.236,24,0,12,15
39.145,24,0,12,0
38.58,23,23,12,45
38.628,23,23,12,30
38.57,23,23,12,15
38.91,23,23,12,0
38.69,23,22,12,45
38.929,23,22,12,30
38.819,23,22,12,15
39.09,23,22,12,0
38.806,23,21,12,45
39.018,23,21,12,30
38.96,23,21,12,15
39.248,23,21,12,0
38.865,23,20,12,45
38.862,23,20,12,30
39.216,23,20,12,15
39.359,23,20,12,0
39.081,23,19,12,45
39.228,23,19,12,30
39.189,23,19,12,15
39.262,23,19,12,0
39.018,23,18,12,45
39.054,23,18,12,30
38.933,23,18,12,15
38.86,23,18,12,0
38.768,23,17,12,45
38.933,23,17,12,30
39.26,23,17,12,15
39.329,23,17,12,0
38.905,23,16,12,45
38.634,23,16,12,30
38.639,23,16,12,15
38.627,23,16,12,0
38.86,23,15,12,45
39.042,23,15,12,30
39.164,23,15,12,15
37.221,23,15,12,0
35.944,23,14,12,45
36.16,23,14,12,30
36.206,23,14,12,15
38.228,23,14,12,0
39.456,23,13,12,45
37.452,23,13,12,30
38.863,23,13,12,15
39.174,23,13,12,0
39.562,23,12,12,45
39.303,23,12,12,30
39.01,23,12,12,15
39.486,23,12,12,0
39.221,23,11,12,45
37.677,23,11,12,30
39.463,23,11,12,15
37.931,23,11,12,0
36.759,23,10,12,45
38.863,23,10,12,30
38.919,23,10,12,15
39.527,23,10,12,0
39.352,23,9,12,45
35.576,23,9,12,30
39.645,23,9,12,15
40.234,23,9,12,0
41.145,23,8,12,45
37.788,23,8,12,30
38.256,23,8,12,15
39.008,23,8,12,0
41.947,23,7,12,45
37.485,23,7,12,30
41.029,23,7,12,15
37.603,23,7,12,0
42.161,23,6,12,45
43.6,23,6,12,30
36.071,23,6,12,15
38.857,23,6,12,0
38.32,23,5,12,45
38.386,23,5,12,30
37.944,23,5,12,15
37.947,23,5,12,0
38.08,23,4,12,45
38.055,23,4,12,30
38.049,23,4,12,15
38.046,23,4,12,0
38.126,23,3,12,45
38.054,23,3,12,30
38.107,23,3,12,15
38.359,23,3,12,0
38.218,23,2,12,45
38.413,23,2,12,30
38.49,23,2,12,15
38.63,23,2,12,0
38.648,23,1,12,45
38.757,23,1,12,30
38.966,23,1,12,15
38.708,23,1,12,0
38.432,23,0,12,45
38.518,23,0,12,30
38.504,23,0,12,15
38.929,23,0,12,0
38.814,22,23,12,45
38.274,22,23,12,30
38.388,22,23,12,15
38.585,22,23,12,0
38.614,22,22,12,45
38.551,22,22,12,30
38.545,22,22,12,15
38.86,22,22,12,0
38.98,22,21,12,45
38.93,22,21,12,30
38.87,22,21,12,15
38.787,22,21,12,0
38.693,22,20,12,45
38.631,22,20,12,30
38.679,22,20,12,15
38.983,22,20,12,0
38.955,22,19,12,45
39.063,22,19,12,30
38.991,22,19,12,15
38.852,22,19,12,0
38.953,22,18,12,45
38.855,22,18,12,30
38.915,22,18,12,15
39.015,22,18,12,0
39.008,22,17,12,45
38.84,22,17,12,30
38.35,22,17,12,15
39.205,22,17,12,0
38.825,22,16,12,45
38.783,22,16,12,30
38.673,22,16,12,15
36.297,22,16,12,0
36.011,22,15,12,45
35.602,22,15,12,30
35.612,22,15,12,15
35.729,22,15,12,0
35.79,22,14,12,45
35.701,22,14,12,30
35.599,22,14,12,15
35.645,22,14,12,0
35.63,22,13,12,45
35.65,22,13,12,30
35.951,22,13,12,15
35.913,22,13,12,0
35.497,22,12,12,45
35.665,22,12,12,30
35.613,22,12,12,15
35.725,22,12,12,0
35.801,22,11,12,45
35.745,22,11,12,30
35.694,22,11,12,15
35.735,22,11,12,0
35.849,22,10,12,45
35.529,22,10,12,30
35.593,22,10,12,15
36.203,22,10,12,0
35.782,22,9,12,45
35.635,22,9,12,30
35.698,22,9,12,15
35.755,22,9,12,0
35.663,22,8,12,45
35.575,22,8,12,30
37.766,22,8,12,15
38.175,22,8,12,0
38.267,22,7,12,45
38.26,22,7,12,30
38.419,22,7,12,15
39.048,22,7,12,0
39.167,22,6,12,45
38.331,22,6,12,30
38.238,22,6,12,15
38.364,22,6,12,0
38.363,22,5,12,45
38.259,22,5,12,30
38.315,22,5,12,15
38.328,22,5,12,0
38.456,22,4,12,45
38.431,22,4,12,30
38.372,22,4,12,15
38.236,22,4,12,0
38.302,22,3,12,45
38.069,22,3,12,30
38.169,22,3,12,15
38.124,22,3,12,0
38.125,22,2,12,45
38.149,22,2,12,30
38.502,22,2,12,15
38.847,22,2,12,0
38.814,22,1,12,45
38.867,22,1,12,30
38.932,22,1,12,15
38.523,22,1,12,0
38.524,22,0,12,45
38.503,22,0,12,30
38.36,22,0,12,15
38.367,22,0,12,0
38.49,21,23,12,45
38.744,21,23,12,30
38.973,21,23,12,15
39.073,21,23,12,0
38.596,21,22,12,45
38.374,21,22,12,30
38.382,21,22,12,15
38.432,21,22,12,0
38.742,21,21,12,45
38.771,21,21,12,30
38.745,21,21,12,15
38.475,21,21,12,0
38.55,21,20,12,45
38.781,21,20,12,30
38.925,21,20,12,15
38.9,21,20,12,0
38.781,21,19,12,45
38.932,21,19,12,30
39.104,21,19,12,15
38.925,21,19,12,0
38.974,21,18,12,45
38.738,21,18,12,30
38.767,21,18,12,15
38.897,21,18,12,0
38.755,21,17,12,45
38.741,21,17,12,30
38.89,21,17,12,15
38.916,21,17,12,0
38.569,21,16,12,45
38.568,21,16,12,30
38.503,21,16,12,15
36.777,21,16,12,0
35.552,21,15,12,45
35.532,21,15,12,30
35.906,21,15,12,15
35.825,21,15,12,0
35.51,21,14,12,45
36.043,21,14,12,30
35.797,21,14,12,15
35.373,21,14,12,0
35.568,21,13,12,45
35.986,21,13,12,30
35.735,21,13,12,15
35.859,21,13,12,0
35.908,21,12,12,45
36.043,21,12,12,30
35.7,21,12,12,15
36.001,21,12,12,0
36.091,21,11,12,45
35.996,21,11,12,30
35.899,21,11,12,15
36.286,21,11,12,0
36.4,21,10,12,45
36.26,21,10,12,30
36.206,21,10,12,15
36.346,21,10,12,0
36.172,21,9,12,45
36.147,21,9,12,30
36.216,21,9,12,15
36.348,21,9,12,0
32.309,21,8,12,45
36.276,21,8,12,30
36.948,21,8,12,15
34.775,21,8,12,0
40.854,21,7,12,45
38.005,21,7,12,30
39.217,21,7,12,15
36.97,21,7,12,0
41.283,21,6,12,45
41.187,21,6,12,30
36.513,21,6,12,15
38.589,21,6,12,0
38.343,21,5,12,45
38.377,21,5,12,30
38.281,21,5,12,15
38.396,21,5,12,0
38.361,21,4,12,45
38.446,21,4,12,30
38.401,21,4,12,15
38.32,21,4,12,0
38.313,21,3,12,45
38.459,21,3,12,30
38.619,21,3,12,15
38.466,21,3,12,0
38.373,21,2,12,45
38.556,21,2,12,30
38.508,21,2,12,15
38.507,21,2,12,0
38.327,21,1,12,45
38.317,21,1,12,30
38.384,21,1,12,15
38.387,21,1,12,0
38.572,21,0,12,45
38.692,21,0,12,30
38.66,21,0,12,15
38.382,21,0,12,0
38.469,20,23,12,45
38.561,20,23,12,30
38.526,20,23,12,15
38.449,20,23,12,0
38.481,20,22,12,45
38.39,20,22,12,30
38.37,20,22,12,15
38.299,20,22,12,0
38.644,20,21,12,45
38.802,20,21,12,30
38.989,20,21,12,15
38.888,20,21,12,0
39.074,20,20,12,45
39.005,20,20,12,30
39.21,20,20,12,15
39.012,20,20,12,0
39.01,20,19,12,45
39.751,20,19,12,30
39.223,20,19,12,15
38.98,20,19,12,0
39.327,20,18,12,45
38.965,20,18,12,30
39.695,20,18,12,15
39.615,20,18,12,0
39.035,20,17,12,45
39.364,20,17,12,30
38.861,20,17,12,15
39.206,20,17,12,0
39.024,20,16,12,45
39.059,20,16,12,30
36.479,20,16,12,15
36.501,20,16,12,0
36.383,20,15,12,45
36.447,20,15,12,30
35.836,20,15,12,15
37.354,20,15,12,0
39.575,20,14,12,45
39.892,20,14,12,30
40.417,20,14,12,15
39.91,20,14,12,0
40.121,20,13,12,45
40.453,20,13,12,30
39.492,20,13,12,15
39.333,20,13,12,0
38.643,20,12,12,45
39.749,20,12,12,30
40.257,20,12,12,15
38.343,20,12,12,0
38.355,20,11,12,45
40.498,20,11,12,30
31.949,20,11,12,15
41.237,20,11,12,0
41.875,20,10,12,45
41.828,20,10,12,30
40.756,20,10,12,15
40.88,20,10,12,0
42.76,20,9,12,45
40.371,20,9,12,30
41.375,20,9,12,15
43.671,20,9,12,0
40.645,20,8,12,45
44.67,20,8,12,30
44.352,20,8,12,15
43.809,20,8,12,0
40.896,20,7,12,45
48.518,20,7,12,30
43.949,20,7,12,15
47.642,20,7,12,0
45.726,20,6,12,45
43.776,20,6,12,30
45.577,20,6,12,15
43.545,20,6,12,0
41.843,20,5,12,45
45.574,20,5,12,30
42.395,20,5,12,15
43.363,20,5,12,0
44.688,20,4,12,45
41.15,20,4,12,30
43.799,20,4,12,15
44.762,20,4,12,0
41.319,20,3,12,45
44.05,20,3,12,30
43.054,20,3,12,15
41.255,20,3,12,0
44.937,20,2,12,45
41.891,20,2,12,30
42.023,20,2,12,15
44.687,20,2,12,0
41.0,20,1,12,45
42.5,20,1,12,30
43.848,20,1,12,15
41.312,20,1,12,0
43.809,20,0,12,45
44.197,20,0,12,30
