,DateTime,RealPower,Fecha,vacaciones,clases_verano,Min Temp (C),Max Temp (C),Avg Temp (C),Sunrise,Sunset,suma_final
48,2019-12-31 11:45:00,35.889,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
49,2019-12-31 11:30:00,36.124,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
50,2019-12-31 11:15:00,36.018,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
51,2019-12-31 11:00:00,35.882,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
52,2019-12-31 10:45:00,36.133,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
53,2019-12-31 10:30:00,36.0,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
54,2019-12-31 10:15:00,35.924,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
55,2019-12-31 10:00:00,36.049,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
56,2019-12-31 09:45:00,35.973,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
57,2019-12-31 09:30:00,35.822,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
58,2019-12-31 09:15:00,36.004,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
59,2019-12-31 09:00:00,35.976,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
60,2019-12-31 08:45:00,35.892,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
61,2019-12-31 08:30:00,37.993,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
62,2019-12-31 08:15:00,37.638,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
63,2019-12-31 08:00:00,38.353,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
64,2019-12-31 07:45:00,38.66,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
65,2019-12-31 07:30:00,38.705,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
66,2019-12-31 07:15:00,38.843,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
67,2019-12-31 07:00:00,38.589,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
68,2019-12-31 06:45:00,38.809,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
69,2019-12-31 06:30:00,38.862,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
70,2019-12-31 06:15:00,38.514,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
71,2019-12-31 06:00:00,38.385,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
72,2019-12-31 05:45:00,38.31,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
73,2019-12-31 05:30:00,38.311,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
74,2019-12-31 05:15:00,38.478,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
75,2019-12-31 05:00:00,38.409,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
76,2019-12-31 04:45:00,38.634,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
77,2019-12-31 04:30:00,38.531,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
78,2019-12-31 04:15:00,38.485,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
79,2019-12-31 04:00:00,38.291,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
80,2019-12-31 03:45:00,38.53,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
